LocationID,zone,borough,lat,lon
84,Eltingville/Annadale/Prince's Bay,Staten Island,131946.88658336038,932076.4501930304
85,Erasmus,Brooklyn,174677.62359658885,997674.78128442
86,Far Rockaway,Queens,158853.81499105782,1052215.5705983127
87,Financial District North,Manhattan,196785.94084490498,982171.727891981
88,Financial District South,Manhattan,195528.92479920073,981057.2642958593
89,Flatbush/Ditmas Park,Brooklyn,171682.828384498,995082.8902422966
90,Flatiron,Manhattan,209708.74184834195,985089.2186553577
91,Flatlands,Brooklyn,167452.06576771155,1003654.1440255485
92,Flushing,Queens,216612.8159510848,1031660.7208707302
93,Flushing Meadows-Corona Park,Queens,209164.12047047325,1028348.080639231
94,Fordham South,Bronx,251942.57172494626,1012040.665243386
95,Forest Hills,Queens,202150.22155636095,1026474.8421587804
96,Forest Park/Highland Park,Queens,193239.00952966628,1019865.1809046713
97,Fort Greene,Brooklyn,190949.61806373845,991215.6982442432
98,Fresh Meadows,Queens,206939.6178548511,1045981.3581738913
99,Freshkills Park,Staten Island,149465.339574893,932463.5770637904
100,Garment District,Manhattan,213801.8903360138,987356.7624025445
101,Glen Oaks,Queens,211194.12738601945,1064321.6844356095
102,Glendale,Queens,195621.72184014547,1018703.895664441
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,190614.3221264578,971690.5178691468
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,193859.36077724295,972944.834560436
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,190219.67387671873,978960.5655138263
106,Gowanus,Brooklyn,184655.37448370285,986844.2853590193
107,Gramercy,Manhattan,207721.84599820204,988669.5907152938
108,Gravesend,Brooklyn,153648.26672411078,989407.3274538667
109,Great Kills,Staten Island,140370.83697271615,942318.0695212188
110,Great Kills Park,Staten Island,138144.9262860037,948580.6069577679
111,Green-Wood Cemetery,Brooklyn,176867.70260620638,986959.7652887183
112,Greenpoint,Brooklyn,205059.36264106684,998235.3938487581
113,Greenwich Village North,Manhattan,206174.92383447656,985828.421266087
114,Greenwich Village South,Manhattan,204630.6079875288,984976.1217439739
115,Grymes Hill/Clifton,Staten Island,164432.11292961225,959864.0081423334
116,Hamilton Heights,Manhattan,240584.4096847475,998496.7141201992
117,Hammels/Arverne,Queens,155778.33770686,1042676.051909837
118,Heartland Village/Todt Hill,Staten Island,153002.19989383093,947313.2115533687
119,Highbridge,Bronx,244528.83953167713,1004682.7553744144
120,Highbridge Park,Manhattan,247748.72753217374,1003566.2603626965
121,Hillcrest/Pomonok,Queens,204689.62747248283,1039005.1967439284
122,Hollis,Queens,198271.7856382352,1050471.5070567904
123,Homecrest,Brooklyn,157857.78764196427,994154.4642102672
124,Howard Beach,Queens,179131.7944112152,1027278.1400976918
125,Hudson Sq,Manhattan,203883.8201161869,982175.1477564898
126,Hunts Point,Bronx,235158.32693405412,1015935.0216336484
127,Inwood,Manhattan,254822.37005747703,1006568.4872156872
128,Inwood Hill Park,Manhattan,257117.8925632856,1005166.5528590761
129,Jackson Heights,Queens,215206.60151323938,1016021.9707671711
130,Jamaica,Queens,195964.28511474803,1041371.2864290018
131,Jamaica Estates,Queens,201910.06961972587,1046313.573758885
132,JFK Airport,Queens,175062.67758486557,1043488.1868617043
133,Kensington,Brooklyn,172661.46367470387,990855.5089877855
134,Kew Gardens,Queens,197284.97927258155,1031739.0022501621
135,Kew Gardens Hills,Queens,204694.61460670287,1033808.0664842709
136,Kingsbridge Heights,Bronx,254530.65081090233,1010274.3202539553
137,Kips Bay,Manhattan,209039.3538898732,990763.615736023
138,LaGuardia Airport,Queens,221428.0449285067,1019251.3069710146
139,Laurelton,Queens,186064.86991700612,1055193.0494190822
140,Lenox Hill East,Manhattan,218166.4343533099,996787.6630546569
141,Lenox Hill West,Manhattan,218699.1927268597,995431.1975186545
142,Lincoln Square East,Manhattan,221132.7753491493,989365.0684741095
143,Lincoln Square West,Manhattan,221982.08549339895,987671.7097013488
144,Little Italy/NoLiTa,Manhattan,201915.7902757445,985104.1485227022
145,Long Island City/Hunters Point,Queens,210842.5649406597,998411.7431344199
146,Long Island City/Queens Plaza,Queens,214074.29665507557,1002305.987357746
147,Longwood,Bronx,237923.2448208716,1012217.112268326
148,Lower East Side,Manhattan,201205.26489160702,986773.5460915552
149,Madison,Brooklyn,159666.94559370997,998651.5086685958
150,Manhattan Beach,Brooklyn,150763.56700925966,999908.708734879
151,Manhattan Valley,Manhattan,229997.64462554798,993063.3768608607
152,Manhattanville,Manhattan,237290.9067861937,997042.6288289687
153,Marble Hill,Manhattan,258429.1415350053,1009034.6862684477
154,Marine Park/Floyd Bennett Field,Brooklyn,155545.39617014467,1011301.6035144813
155,Marine Park/Mill Basin,Brooklyn,163199.94683754715,1007772.0738285038
156,Mariners Harbor,Staten Island,169323.09568286434,937831.3979157201
157,Maspeth,Queens,203062.48265449997,1011322.0566218888
158,Meatpacking/West Village West,Manhattan,207069.85524818485,981760.1630097581
159,Melrose South,Bronx,237403.26520762578,1008372.3431942797
160,Middle Village,Queens,201008.7480716868,1017500.3337736354
161,Midtown Center,Manhattan,215447.5272239114,990428.525989642
162,Midtown East,Manhattan,214959.58164229896,991908.5895678961
163,Midtown North,Manhattan,217776.88244811285,990463.7954353758
164,Midtown South,Manhattan,212002.89303566894,988362.833435725
165,Midwood,Brooklyn,165498.6289448304,996235.9681391948
166,Morningside Heights,Manhattan,234186.3268721064,994834.7872526807
167,Morrisania/Melrose,Bronx,240777.45048551454,1011274.10312161
168,Mott Haven/Port Morris,Bronx,233426.31053268496,1007276.6552625739
169,Mount Hope,Bronx,248626.50066211302,1010498.8966177455
170,Murray Hill,Manhattan,211701.31597992923,990209.6000586881
171,Murray Hill-Queens,Queens,219265.33237573717,1037005.2460888692
172,New Dorp/Midland Beach,Staten Island,147604.72249633484,955074.2840242308
173,North Corona,Queens,213491.23352672328,1022197.0870768115
174,Norwood,Bronx,258865.70276778052,1017705.6853706642
175,Oakland Gardens,Queens,209946.98083071175,1052245.0396521217
176,Oakwood,Staten Island,144049.9002898066,950189.7218172458
177,Ocean Hill,Brooklyn,185807.8687629447,1008206.4863896965
178,Ocean Parkway South,Brooklyn,164182.16421082919,992488.3342148869
179,Old Astoria,Queens,220388.74304930714,1004100.5532674759
180,Ozone Park,Queens,185450.93130147815,1026677.5797665772
181,Park Slope,Brooklyn,183512.2660660261,989405.7462567874
182,Parkchester,Bronx,244523.60478571683,1023546.1195878815
183,Pelham Bay,Bronx,248698.68510380972,1030844.6058161812
184,Pelham Bay Park,Bronx,255671.9999736178,1037392.699343806
185,Pelham Parkway,Bronx,250593.75299100287,1024530.2532265898
186,Penn Station/Madison Sq West,Manhattan,211974.4462185665,986345.3986004688
187,Port Richmond,Staten Island,168165.56998955715,945169.9571905945
188,Prospect-Lefferts Gardens,Brooklyn,179279.2193722589,998832.3808813528
189,Prospect Heights,Brooklyn,186158.9037662549,993240.6149544868
190,Prospect Park,Brooklyn,180324.55048010786,992874.5690428183
191,Queens Village,Queens,200041.3338398747,1055901.629081539
192,Queensboro Hill,Queens,210299.49328919078,1035449.7277915126
193,Queensbridge/Ravenswood,Queens,216284.73388045916,1000318.472670505
194,Randalls Island,Manhattan,227468.71626552643,1005129.3426642001
195,Red Hook,Brooklyn,185397.130970592,981704.0644012764
196,Rego Park,Queens,203864.03666497374,1022128.768997929
197,Richmond Hill,Queens,192362.21698943275,1031135.2530615153
198,Ridgewood,Queens,196698.5440138868,1011501.4868411963
199,Rikers Island,Bronx,227529.73980097013,1016742.2004998754
200,Riverdale/North Riverdale/Fieldston,Bronx,267014.1902550762,1009963.3806263335
201,Rockaway Park,Queens,149890.08516115407,1027736.5213460764
202,Roosevelt Island,Manhattan,216861.1622843492,998114.2657052308
203,Rosedale,Queens,179057.24700622662,1056534.442660378
204,Rossville/Woodrow,Staten Island,136202.98565098652,926485.9389783139
205,Saint Albans,Queens,191188.33726989798,1049933.6363754966
206,Saint George/New Brighton,Staten Island,172088.09238731404,955854.2053012605
207,Saint Michaels Cemetery/Woodside,Queens,217633.2993820884,1012130.8105779189
208,Schuylerville/Edgewater Park,Bronx,239283.26241425486,1033088.7374246694
209,Seaport,Manhattan,197610.82357761072,983234.0457223997
210,Sheepshead Bay,Brooklyn,154972.18794490898,1000772.9141552745
211,SoHo,Manhattan,203008.49133300316,983823.8071164908
212,Soundview/Bruckner,Bronx,240931.2162116811,1020315.9032821191
213,Soundview/Castle Hill,Bronx,237276.93187677432,1023516.9037806736
214,South Beach/Dongan Hills,Staten Island,153070.10553933622,960498.7813147745
215,South Jamaica,Queens,192344.28083004424,1042216.2459479597
216,South Ozone Park,Queens,185669.03225079025,1034328.3000648457
217,South Williamsburg,Brooklyn,195734.9381403171,995729.6302937921
218,Springfield Gardens North,Queens,184218.4311918923,1047209.1610987317
219,Springfield Gardens South,Queens,180616.2541370329,1049585.194577725
220,Spuyten Duyvil/Kingsbridge,Bronx,260773.7150891078,1008953.1291249457
221,Stapleton,Staten Island,164718.9103742411,963788.5728740784
222,Starrett City,Brooklyn,175209.80327776715,1016880.3445569858
223,Steinway,Queens,222528.47602007707,1010448.2493393868
224,Stuy Town/Peter Cooper Village,Manhattan,205899.41753291615,990735.9403089168
225,Stuyvesant Heights,Brooklyn,190001.9666835319,1003139.565788068
226,Sunnyside,Queens,208048.82712851572,1005124.9821983831
227,Sunset Park East,Brooklyn,173132.83396129613,982958.7984940856
228,Sunset Park West,Brooklyn,176946.79144550333,981122.0045878767
229,Sutton Place/Turtle Bay North,Manhattan,214975.36687718582,993906.1723071609
230,Times Sq/Theatre District,Manhattan,216099.1397683868,988628.0600467023
231,TriBeCa/Civic Center,Manhattan,200780.54042725134,982065.7013854686
232,Two Bridges/Seward Park,Manhattan,199673.27702499644,988955.8875201414
233,UN/Turtle Bay South,Manhattan,212491.9358422481,992439.5608777382
234,Union Sq,Manhattan,209001.62663046308,986894.2367963481
235,University Heights/Morris Heights,Bronx,249885.02158991544,1007494.9920085217
236,Upper East Side North,Manhattan,223613.7535760244,996155.3867656847
237,Upper East Side South,Manhattan,219305.82782555217,993769.0237137815
238,Upper West Side North,Manhattan,227717.51805898765,991712.7644413216
239,Upper West Side South,Manhattan,224895.87216479488,990167.4982917221
240,Van Cortlandt Park,Bronx,265226.43863678636,1016879.869198504
241,Van Cortlandt Village,Bronx,258631.99219990108,1013115.8817520497
242,Van Nest/Morris Park,Bronx,247818.58816932616,1025564.8278476673
243,Washington Heights North,Manhattan,251552.22868853094,1002830.5879831794
244,Washington Heights South,Manhattan,245939.88065875435,1000464.3110476533
245,West Brighton,Staten Island,168837.0586013862,955698.9158310394
246,West Chelsea/Hudson Yards,Manhattan,213727.4000817298,983137.466109154
247,West Concourse,Bronx,241308.75707519878,1005169.1230273262
248,West Farms/Bronx River,Bronx,243211.97877621523,1019590.3761034976
249,West Village,Manhattan,206902.40799528995,983453.2246483457
250,Westchester Village/Unionport,Bronx,242470.43505891712,1026135.8006293959
251,Westerleigh,Staten Island,164047.36514970663,949450.1344788744
252,Whitestone,Queens,226490.62684080808,1035297.1584300715
253,Willets Point,Queens,216434.84686612728,1028229.9452522065
254,Williamsbridge/Olinville,Bronx,260702.71418530465,1023253.9608941409
255,Williamsburg (North Side),Brooklyn,201159.03335346075,996053.8033052003
256,Williamsburg (South Side),Brooklyn,198271.799699528,995365.8780821689
257,Windsor Terrace,Brooklyn,177405.49666927903,990359.3815942473
258,Woodhaven,Queens,190229.06962103507,1024249.8716237351
259,Woodlawn/Wakefield,Bronx,266453.4145522804,1025106.2307871642
260,Woodside,Queens,210434.8918941504,1010211.9773426988
261,World Trade Center,Manhattan,197635.1737024674,980639.5117675496
262,Yorkville East,Manhattan,221974.400787808,999064.7250824339
263,Yorkville West,Manhattan,223005.98840944972,997817.9196611019
